# input                                            direction    mode    forward  reverse
U-wire-DualResponse-left-as-wt5                  decode       retain        1        4
U-wire-DualResponse-left-as-wt5                  decode-pull  retain        2        1
U-wire-ListMetricsResponse-batches-as-wt0        encode       drop         12       11
U-wire-ListMetricsResponse-batches-as-wt0        decode       drop          1       15
U-wire-ListMetricsResponse-batches-as-wt0        decode-pull  drop          2        0
U-wire-ListMetricsResponse-batches-as-wt0        encode       retain       12       11
U-wire-ListMetricsResponse-batches-as-wt0        decode       retain        1       16
U-wire-ListMetricsResponse-batches-as-wt0        decode-pull  retain        2        1
U-wire-ListMetricsResponse-batches-as-wt1        encode       drop         12       11
U-wire-ListMetricsResponse-batches-as-wt1        decode       drop          1       15
U-wire-ListMetricsResponse-batches-as-wt1        decode-pull  drop          2        0
U-wire-ListMetricsResponse-batches-as-wt1        encode       retain       12       11
U-wire-ListMetricsResponse-batches-as-wt1        decode       retain        1       16
U-wire-ListMetricsResponse-batches-as-wt1        decode-pull  retain        2        1
U-wire-ListMetricsResponse-batches-as-wt5        encode       drop         12       11
U-wire-ListMetricsResponse-batches-as-wt5        decode       drop          1       15
U-wire-ListMetricsResponse-batches-as-wt5        decode-pull  drop          2        0
U-wire-ListMetricsResponse-batches-as-wt5        encode       retain       12       11
U-wire-ListMetricsResponse-batches-as-wt5        decode       retain        1       16
U-wire-ListMetricsResponse-batches-as-wt5        decode-pull  retain        2        1
U-wire-ListProbeResponse-probes-as-wt0           encode       drop          2        1
U-wire-ListProbeResponse-probes-as-wt0           decode       drop          1        2
U-wire-ListProbeResponse-probes-as-wt0           decode-pull  drop          2        0
U-wire-ListProbeResponse-probes-as-wt0           encode       retain        2        1
U-wire-ListProbeResponse-probes-as-wt0           decode       retain        1        3
U-wire-ListProbeResponse-probes-as-wt0           decode-pull  retain        2        1
U-wire-ListProbeResponse-probes-as-wt1           encode       drop          2        1
U-wire-ListProbeResponse-probes-as-wt1           decode       drop          1        2
U-wire-ListProbeResponse-probes-as-wt1           decode-pull  drop          2        0
U-wire-ListProbeResponse-probes-as-wt1           encode       retain        2        1
U-wire-ListProbeResponse-probes-as-wt1           decode       retain        1        3
U-wire-ListProbeResponse-probes-as-wt1           decode-pull  retain        2        1
U-wire-ListProbeResponse-probes-as-wt5           encode       drop          2        1
U-wire-ListProbeResponse-probes-as-wt5           decode       drop          1        2
U-wire-ListProbeResponse-probes-as-wt5           decode-pull  drop          2        0
U-wire-ListProbeResponse-probes-as-wt5           encode       retain        2        1
U-wire-ListProbeResponse-probes-as-wt5           decode       retain        1        3
U-wire-ListProbeResponse-probes-as-wt5           decode-pull  retain        2        1
U-wire-ListResultsResponse-page-as-wt1           encode       drop          2        1
U-wire-ListResultsResponse-page-as-wt1           decode       drop          1        2
U-wire-ListResultsResponse-page-as-wt1           decode-pull  drop          2        0
U-wire-ListResultsResponse-page-as-wt1           encode       retain        2        1
U-wire-ListResultsResponse-page-as-wt1           decode       retain        1        3
U-wire-ListResultsResponse-page-as-wt1           decode-pull  retain        2        1
U-wire-ListResultsResponse-page-as-wt2           encode       drop          2        1
U-wire-ListResultsResponse-page-as-wt2           decode       drop          1        2
U-wire-ListResultsResponse-page-as-wt2           decode-pull  drop          2        0
U-wire-ListResultsResponse-page-as-wt2           encode       retain        2        1
U-wire-ListResultsResponse-page-as-wt2           decode       retain        1        3
U-wire-ListResultsResponse-page-as-wt2           decode-pull  retain        2        1
U-wire-ListResultsResponse-page-as-wt5           encode       drop          2        1
U-wire-ListResultsResponse-page-as-wt5           decode       drop          1        2
U-wire-ListResultsResponse-page-as-wt5           decode-pull  drop          2        0
U-wire-ListResultsResponse-page-as-wt5           encode       retain        2        1
U-wire-ListResultsResponse-page-as-wt5           decode       retain        1        3
U-wire-ListResultsResponse-page-as-wt5           decode-pull  retain        2        1
U-wire-ListResultsResponse-results-as-wt0        encode       drop          2        1
U-wire-ListResultsResponse-results-as-wt0        decode       drop          1        2
U-wire-ListResultsResponse-results-as-wt0        decode-pull  drop          2        0
U-wire-ListResultsResponse-results-as-wt0        encode       retain        2        1
U-wire-ListResultsResponse-results-as-wt0        decode       retain        1        3
U-wire-ListResultsResponse-results-as-wt0        decode-pull  retain        2        1
U-wire-ListResultsResponse-results-as-wt1        encode       drop          2        1
U-wire-ListResultsResponse-results-as-wt1        decode       drop          1        2
U-wire-ListResultsResponse-results-as-wt1        decode-pull  drop          2        0
U-wire-ListResultsResponse-results-as-wt1        encode       retain        2        1
U-wire-ListResultsResponse-results-as-wt1        decode       retain        1        3
U-wire-ListResultsResponse-results-as-wt1        decode-pull  retain        2        1
U-wire-ListResultsResponse-results-as-wt5        encode       drop          2        1
U-wire-ListResultsResponse-results-as-wt5        decode       drop          1        2
